autor,name_full,n,codigos
abel pereira,Abel Pereira,6,"{""66534"": 2, ""66611"": 2, ""66739"": 2, ""66745"": 2, ""74046"": 2, ""74225"": 2}"
aciely christina sales roque da silva,Aciely Christina Sales Roque da Silva,1,"{""66558"": 8}"
adalberto vieyra,Adalberto Vieyra,1,"{""66701"": 8}"
adams brunno silva,Adams Brunno Silva,1,"{""73505"": 6}"
adelia pereira chiachio,Adélia Pereira Chiachio,2,"{""73731"": 4, ""74007"": 4}"
adelson marcal rodrigues,Adelson Marçal Rodrigues,3,"{""68817"": 1, ""72678"": 2, ""72726"": 2}"
adelson m rodrigues,Adelson M. Rodrigues,1,"{""68817"": 2}"
adirlene pontes de oliveira tenorio,Adirlene Pontes de Oliveira Tenório,4,"{""73665"": 6, ""73731"": 6, ""73869"": 6, ""74007"": 6}"
adjanny estela santos de souza,Adjanny Estela Santos de Souza,1,"{""72683"": 3}"
adolfo simon,Adolfo Simon,1,"{""73263"": 3}"
adriana aleixo dias,Adriana Aleixo Dias,2,"{""73636"": 4, ""73689"": 4}"
adriana amaral,Adriana Amaral,1,"{""73624"": 8}"
adriana lins do nascimento dantas,Adriana Lins do Nascimento Dantas,4,"{""72932"": 6, ""72933"": 3, ""73020"": 6, ""73254"": 3}"
adriana reis bittencourt silva,Adriana Reis Bittencourt Silva,1,"{""72702"": 5}"
adriana souza dos santos,Adriana Souza dos Santos,2,"{""66550"": 2, ""66724"": 2}"
adriane cristina vieira dos santos,Adriane Cristina Vieira dos Santos,1,"{""72881"": 2}"
adriane gubessi,Adriane Gubessi,1,"{""73624"": 5}"
adriano dos santos,Adriano dos Santos,2,"{""66520"": 6, ""66522"": 6}"
adriano esmecelato,Adriano Esmecelato,2,"{""73744"": 1, ""73834"": 5}"
adriano luiz ammirati,Adriano Luiz Ammirati,1,"{""66847"": 3}"
adriano silva lugon,Adriano Silva Lugon,1,"{""73531"": 2}"
adriano souza lima neto,Adriano Souza Lima Neto,1,"{""73691"": 8}"
adriano toshio higaki,Adriano Toshio Higaki,2,"{""73316"": 1, ""73979"": 1}"
adriele pantoja cunha,Adriele Pantoja Cunha,1,"{""72681"": 5}"
adrielly de souza martins,Adrielly de Souza Martins,1,"{""73393"": 3}"
aecio flavio teixeira de gois,Aécio Flávio Teixeira de Gois,2,"{""66578"": 5, ""67176"": 4}"
afonso paulo costa ferro,Afonso Paulo Costa Ferro,1,"{""66645"": 7}"
aglauvanir soares barbosa,Aglauvanir Soares Barbosa,2,"{""66444"": 8, ""66448"": 4}"
akeme laissa novais coutinho,Akeme Laissa Novais Coutinho,2,"{""73731"": 2, ""73869"": 5}"
ala moana leme,Ala Moana Leme,2,"{""73728"": 3, ""73733"": 1}"
alana caroline amorim de miranda,Alana Caroline Amorim de Miranda,1,"{""73642"": 8}"
alana caroline amorim de miranda guimaraes,Alana Caroline Amorim de Miranda Guimarães,2,"{""73267"": 3, ""73654"": 1}"
alana ferreira de andrade,Alana Ferreira de Andrade,2,"{""66424"": 7, ""66434"": 8}"
alan marinho alcara,Alan Marinho Alcará,1,"{""66725"": 3}"
alanna ramalho nunes,Alanna Ramalho Nunes,1,"{""66473"": 6}"
alba leticia peixoto medeiros,Alba Letícia Peixoto Medeiros,1,"{""70660"": 2}"
alba otoni,Alba Otoni,5,"{""66646"": 1, ""66673"": 1, ""66697"": 8, ""66806"": 8, ""66819"": 7}"
albert lengruber de azevedo,Albert Lengruber de Azevedo,2,"{""66874"": 8, ""73374"": 7}"
alberto memari pavanelli,Alberto Memari Pavanelli,2,"{""70852"": 4, ""73086"": 5}"
alcione miranda dos santos,Alcione Miranda dos Santos,10,"{""66563"": 8, ""72823"": 4, ""73095"": 8, ""73108"": 8, ""73162"": 2, ""73267"": 1, ""73467"": 2, ""73477"": 2, ""73642"": 2, ""73654"": 2}"
alef aragao carneiro dos santos,Alef Aragão Carneiro dos Santos,1,"{""73728"": 4}"
alejandro tulio zapata leyton,Alejandro Tulio Zapata Leytón,2,"{""71638"": 3, ""72780"": 3}"
alessandra ascolese boldrini,Alessandra Ascolese Boldrini,3,"{""66317"": 5, ""66318"": 6, ""72996"": 6}"
alessandra batista marquito,Alessandra Batista Marquito,1,"{""72892"": 1}"
alessandra stacchiotti,Alessandra Stacchiotti,2,"{""72734"": 4, ""72735"": 4}"
alessandra vicari,Alessandra Vicari,1,"{""66710"": 7}"
alessandra vieira vargas,Alessandra Vieira Vargas,2,"{""66482"": 1, ""66484"": 1}"
alessandro de paula costa,Alessandro de Paula Costa,1,"{""72621"": 7}"
alexandra martins moreira,Alexandra Martins Moreira,1,"{""72720"": 4}"
alexandre bittencourt pedreira,Alexandre Bittencourt Pedreira,2,"{""66457"": 2, ""66872"": 6}"
alexandre braga liborio,Alexandre Braga Liborio,1,"{""73807"": 8}"
alexandre cavalcante teixeira,Alexandre Cavalcante Teixeira,1,"{""73730"": 3}"
alexandre de holanda cavalcanti pinto,Alexandre de Holanda Cavalcanti Pinto,1,"{""73551"": 4}"
alexandre goncalves sousa,Alexandre Gonçalves Sousa,2,"{""66547"": 2, ""66570"": 3}"
alexandre lemos tavares,Alexandre Lemos Tavares,4,"{""72699"": 2, ""72701"": 2, ""73641"": 3, ""73699"": 3}"
alexandre liborio braga,Alexandre Liborio Braga,2,"{""66571"": 8, ""66604"": 8}"
alexandre minetto brabo,Alexandre Minetto Brabo,1,"{""66536"": 1}"
alexandre olimpio,Alexandre Olímpio,1,"{""73442"": 5}"
alexandre vasconcelos dezincourt,Alexandre Vasconcelos Dezincourt,2,"{""66582"": 4, ""66812"": 6}"
alexandre wagner silva de souza,Alexandre Wagner Silva de Souza,1,"{""71638"": 6}"
alex minoru nakamura,Alex Minoru Nakamura,2,"{""73662"": 2, ""74080"": 3}"
aleysson fabian terra,Aleysson Fabian Terra,1,"{""72699"": 4}"
alice callegari amaral araujo,Alice Callegari Amaral Araujo,1,"{""66620"": 3}"
alice maria costa martins,Alice Maria Costa Martins,8,"{""66489"": 4, ""66546"": 8, ""66574"": 8, ""66600"": 7, ""66619"": 8, ""66632"": 7, ""66665"": 6, ""66671"": 4}"
alice pignaton naseri,Alice Pignaton Naseri,5,"{""66569"": 6, ""66655"": 1, ""66775"": 8, ""66796"": 6, ""73658"": 3}"
alice santana,Alice Santana,1,"{""73207"": 8}"
aline araujo padinha lages,Aline Araújo Padinha Lages,1,"{""74110"": 4}"
aline cecy rocha de lima,Aline Cecy Rocha de Lima,1,"{""73505"": 2}"
aline coelho schwart,Aline Coelho Schwart,2,"{""71672"": 4, ""71673"": 4}"
aline costa rodrigues,Aline Costa Rodrigues,1,"{""73000"": 4}"
aline cunha lima alcantara,Aline Cunha Lima Alcântara,1,"{""66636"": 6}"
aline de oliveira biancamano sevilha,Aline de Oliveira Biancamano Sevilha,5,"{""72932"": 7, ""72933"": 4, ""73020"": 8, ""73254"": 5, ""73265"": 3}"
aline gimenez guerra,Aline Gimenez Guerra,1,"{""74066"": 1}"
aline leal cortes,Aline Leal Cortês,2,"{""66533"": 2, ""72918"": 2}"
aline lourenco baptista,Aline Lourenço Baptista,2,"{""73536"": 7, ""73652"": 5}"
aline mendes santos pereira,Aline Mendes Santos Pereira,1,"{""73035"": 2}"
aline miroski de abreu,Aline Miroski de Abreu,2,"{""66542"": 1, ""66545"": 2}"
aline moreira mota,Aline Moreira Mota,3,"{""66729"": 5, ""66857"": 5, ""73272"": 2}"
aline pontara soares,Aline Pontara Soares,1,"{""66702"": 6}"
aline ribeiro moreira,Aline Ribeiro Moreira,1,"{""66585"": 7}"
aline sharlon maciel batista ramos,Aline Sharlon Maciel Batista Ramos,1,"{""74069"": 8}"
aline silva de aguiar,Aline Silva de Aguiar,1,"{""66836"": 5}"
aline silva ross,Aline Silva Ross,1,"{""73045"": 7}"
aline stollmeier,Aline Stollmeier,1,"{""73086"": 4}"
aline tsuma gaedke nomura,Aline Tsuma Gaedke Nomura,1,"{""66710"": 8}"
aline vieira scarlatelli lima,Aline Vieira Scarlatelli Lima,1,"{""66564"": 3}"
alinie da silva pichone,Alinie da Silva Pichone,3,"{""66222"": 3, ""66247"": 7, ""66421"": 2}"
alisson hideki fukuyama,Alisson Hideki Fukuyama,1,"{""72626"": 3}"
allan b. massie,Allan B. Massie,2,"{""73220"": 2, ""73224"": 2}"
allysson wosley de sousa lima,Allysson Wosley de Sousa Lima,6,"{""66886"": 3, ""66888"": 2, ""66890"": 3, ""66892"": 1, ""66893"": 2, ""73526"": 1}"
aloisio vieira silva,Aloísio Vieira Silva,1,"{""66655"": 4}"
