codigo,tit_original,tit_convertido
66206,"AVALIAÇÃO DO RISCO NUTRICIONAL, GANHO DE PESO INTERDIALÍTICO E INTERCORRÊNCIAS DE PACIENTES SUBMETIDOS À HEMODIÁLISE DE UM HOSPITAL PÚBLICO DO DISTRITO FEDERAL","Avaliação do Risco Nutricional, Ganho de Peso Interdialítico e Intercorrências de Pacientes Submetidos à Hemodiálise de um Hospital Público do Distrito Federal"
66222,ÍNDICE TORNOZELO-BRAQUIAL (ITB) E SCORE DE ADRAGÃO PREDIZEM EVENTOS CARDIOVASCULARES EM PACIENTES COM HIPERPARATIREOIDISMO SECUNDÁRIO GRAVE EM HEMODIÁLISE,Índice Tornozelo-Braquial (ITB) e Score de Adragão Predizem Eventos Cardiovasculares em Pacientes com Hiperparatireoidismo Secundário Grave em Hemodiálise
66223,RELATO DE CASO: AVALIAÇÃO DA FUNÇÃO RENAL GLOMERULAR E TUBULAR EM PACIENTE COM ÚTERO DIDELFO COM HEMIVAGINA OBSTRUÍDA E AGENESIA RENAL IPSILATERAL (SÍNDROME OHVIRA OU HERLYN-WERNER-WUNDERLICH),Relato de Caso: Avaliação da Função Renal Glomerular e Tubular em Paciente com Útero Didelfo com Hemivagina Obstruída e Agenesia Renal Ipsilateral (síndrome Ohvira ou Herlyn-Werner-Wunderlich)
66247,HIPOFOSFATEMIA GRAVE E HIPERFOSFATÚRIA ISOLADA EM PACIENTE ADULTO POR OSTEOMALACIA ONCOGÊNICA,Hipofosfatemia Grave e Hiperfosfatúria Isolada em Paciente Adulto por Osteomalacia Oncogênica
66251,ANÁLISE DAS NOTIFICAÇÕES RECEBIDAS PELO NÚCLEO DE SEGURANÇA DO PACIENTE (NSP) EM UNIDADE DE PRESTAÇÃO DE SERVIÇO NEFROLÓGICO MÓVEL,Análise das Notificações Recebidas Pelo Núcleo de Segurança do Paciente (NSP) em Unidade de Prestação de Serviço Nefrológico Móvel
66276,IMPORTÂNCIA DA IMPLANTAÇÃO DO SERVIÇO DE FISIOTERAPIA NO CENTRO DE HEMODIÁLISE DE UM HOSPITAL UNIVERSITÁRIO.,Importância da Implantação do Serviço de Fisioterapia no Centro de Hemodiálise de um Hospital Universitário.
66285,PREVALÊNCIA DE HEPATITE B E C EM PACIENTES COM FALÊNCIA RENAL CRÔNICA EM UMA CAPITAL DO NORDESTE BRASILEIRO,Prevalência de Hepatite B e C em Pacientes com Falência Renal Crônica em uma Capital do Nordeste Brasileiro
66286,PREVALÊNCIA DE FALÊNCIA DO ENXERTO RENAL COMO CAUSA DE RETORNO À DIÁLISE EM PORTADORES DE DOENÇA RENAL CRÔNICA NO MUNICÍPIO DE FORTALEZA,Prevalência de Falência do Enxerto Renal como Causa de Retorno à Diálise em Portadores de Doença Renal Crônica no Município de Fortaleza
66303,PREVALÊNCIA DE DOENÇA RENAL CRÔNICA EM UMA COORTE DE PACIENTES COM AMILOIDOSE HEREDITÁRIA POR TRANSTIRRETINA.,Prevalência de Doença Renal Crônica em uma Coorte de Pacientes com Amiloidose Hereditária por Transtirretina.
66316,TRATAMENTO DE INDUÇÃO E MANUTENÇÃO UTILIZADOS EM PACIENTE PORTADORES DE NEFRITE LÚPICA CLASSE III E IV ATENDIDOS EM UM HOSPITAL NA CIDADE DO RECIFE,Tratamento de Indução e Manutenção Utilizados em Paciente Portadores de Nefrite Lúpica Classe III e IV Atendidos em um Hospital na Cidade do Recife
