seq,sigla,rnum,codigo
1.1.1,AO,1,66352
1.1.1,AO,2,66445
1.1.1,AO,3,66486
1.1.1,AO,4,70607
1.1.1,AO,5,72766
1.1.1,AO,6,72966
1.1.1,AO,7,73082
1.1.1,AO,8,73133
1.1.1,AO,9,73134
1.1.1,AO,10,73205
1.1.1,AO,11,73304
1.1.1,AO,12,73639
1.1.1,AO,13,73652
1.1.1,AO,14,73670
1.1.1,AO,15,73718
1.1.1,AO,16,74124
1.1.1,AO,17,74356
1.1.2,AO,18,72930
1.1.2,AO,19,73708
1.1.3,AO,20,66532
1.1.3,AO,21,66559
1.1.3,AO,22,66587
1.1.3,AO,23,66736
1.1.3,AO,24,73053
1.1.3,AO,25,73173
1.1.4,AO,26,66513
1.1.4,AO,27,73052
1.1.4,AO,28,73297
1.1.4,AO,29,73661
1.1.5,AO,30,66362
1.1.5,AO,31,72675
1.1.5,AO,32,72735
1.1.5,AO,33,73525
1.1.6,AO,34,66377
1.1.6,AO,35,66537
1.1.6,AO,36,72992
1.1.7,AO,37,66402
1.1.7,AO,38,66522
1.1.7,AO,39,66578
1.1.7,AO,40,66600
1.1.7,AO,41,66604
1.1.7,AO,42,66665
1.1.7,AO,43,66671
1.1.7,AO,44,71920
1.1.7,AO,45,72537
1.1.7,AO,46,72720
1.1.7,AO,47,73146
1.1.7,AO,48,73532
1.1.8,AO,49,73672
1.1.9,AO,50,66441
1.1.9,AO,51,66500
1.1.9,AO,52,66663
1.1.9,AO,53,66687
1.1.9,AO,54,66741
1.1.9,AO,55,68572
1.1.9,AO,56,73224
1.1.9,AO,57,73262
1.1.9,AO,58,76560
1.1.9,AO,59,76566
1.2.1,JP,1,66439
1.2.1,JP,2,73578
1.2.1,JP,3,73263
1.2.2,JP,4,72975
1.2.3,JP,5,72955
1.2.4,JP,6,66541
1.3.1,PC,1,66666
1.3.1,PC,2,66726
1.3.1,PC,3,66793
1.3.1,PC,4,72667
1.3.1,PC,5,72698
1.3.1,PC,6,73565
1.3.1,PC,7,73568
1.3.1,PC,8,74158
1.3.2,PC,9,66222
1.3.2,PC,10,73690
1.3.3,PC,11,66387
1.3.3,PC,12,66489
1.3.3,PC,13,66576
1.3.3,PC,14,66681
1.3.3,PC,15,66791
1.3.3,PC,16,66878
1.3.3,PC,17,72691
1.3.3,PC,18,72823
1.3.3,PC,19,73421
1.3.3,PC,20,73431
1.3.4,PC,21,66738
1.3.4,PC,22,73085
1.3.4,PC,23,73558
1.3.4,PC,24,73727
